Unnamed: 0,property_id,check_in_date,room_category,successful_bookings,capacity,vacantrooms
1,19562,01-May-22,RT1,28,30,2
21,19559,01-May-22,RT1,18,24,6
22,19561,01-May-22,RT1,25,36,11
24,19562,01-May-22,RT2,23,23,0
34,19559,01-May-22,RT2,32,41,9
47,19561,01-May-22,RT2,35,45,10
51,19562,01-May-22,RT3,25,29,4
52,19561,01-May-22,RT3,23,29,6
56,19559,01-May-22,RT3,19,27,8
75,19559,01-May-22,RT4,2,3,1
81,19561,01-May-22,RT4,5,7,2
91,19562,01-May-22,RT4,13,14,1
102,19562,02-May-22,RT1,20,30,10
122,19559,02-May-22,RT1,13,24,11
123,19561,02-May-22,RT1,20,36,16
125,19562,02-May-22,RT2,15,23,8
135,19559,02-May-22,RT2,19,41,22
148,19561,02-May-22,RT2,22,45,23
151,19562,02-May-22,RT3,18,29,11
152,19561,02-May-22,RT3,17,29,12
156,19559,02-May-22,RT3,14,27,13
175,19559,02-May-22,RT4,2,3,1
180,19561,02-May-22,RT4,4,7,3
189,19562,02-May-22,RT4,8,14,6
203,19562,03-May-22,RT1,19,30,11
223,19559,03-May-22,RT1,12,24,12
224,19561,03-May-22,RT1,20,36,16
226,19562,03-May-22,RT2,14,23,9
236,19559,03-May-22,RT2,22,41,19
249,19561,03-May-22,RT2,21,45,24
251,19562,03-May-22,RT3,18,29,11
252,19561,03-May-22,RT3,14,29,15
256,19559,03-May-22,RT3,14,27,13
278,19561,03-May-22,RT4,4,7,3
282,19559,03-May-22,RT4,1,3,2
288,19562,03-May-22,RT4,9,14,5
302,19562,04-May-22,RT1,17,30,13
322,19559,04-May-22,RT1,12,24,12
323,19561,04-May-22,RT1,16,36,20
325,19562,04-May-22,RT2,14,23,9
335,19559,04-May-22,RT2,22,41,19
348,19561,04-May-22,RT2,21,45,24
351,19562,04-May-22,RT3,20,29,9
352,19561,04-May-22,RT3,13,29,16
356,19559,04-May-22,RT3,14,27,13
376,19559,04-May-22,RT4,2,3,1
386,19562,04-May-22,RT4,8,14,6
398,19561,04-May-22,RT4,3,7,4
402,19562,05-May-22,RT1,19,30,11
422,19559,05-May-22,RT1,13,24,11
423,19561,05-May-22,RT1,17,36,19
425,19562,05-May-22,RT2,15,23,8
435,19559,05-May-22,RT2,23,41,18
448,19561,05-May-22,RT2,21,45,24
451,19562,05-May-22,RT3,19,29,10
452,19561,05-May-22,RT3,14,29,15
456,19559,05-May-22,RT3,14,27,13
475,19559,05-May-22,RT4,2,3,1
478,19561,05-May-22,RT4,4,7,3
487,19562,05-May-22,RT4,9,14,5
502,19562,06-May-22,RT1,18,30,12
522,19559,06-May-22,RT1,14,24,10
523,19561,06-May-22,RT1,20,36,16
525,19562,06-May-22,RT2,18,23,5
535,19559,06-May-22,RT2,20,41,21
548,19561,06-May-22,RT2,24,45,21
551,19562,06-May-22,RT3,20,29,9
552,19561,06-May-22,RT3,13,29,16
556,19559,06-May-22,RT3,13,27,14
576,19559,06-May-22,RT4,2,3,1
587,19562,06-May-22,RT4,8,14,6
598,19561,06-May-22,RT4,3,7,4
602,19562,07-May-22,RT1,28,30,2
622,19559,07-May-22,RT1,18,24,6
623,19561,07-May-22,RT1,26,36,10
625,19562,07-May-22,RT2,22,23,1
635,19559,07-May-22,RT2,28,41,13
648,19561,07-May-22,RT2,34,45,11
651,19562,07-May-22,RT3,26,29,3
652,19561,07-May-22,RT3,22,29,7
656,19559,07-May-22,RT3,20,27,7
675,19559,07-May-22,RT4,2,3,1
681,19561,07-May-22,RT4,5,7,2
691,19562,07-May-22,RT4,13,14,1
702,19562,08-May-22,RT1,27,30,3
722,19559,08-May-22,RT1,18,24,6
723,19561,08-May-22,RT1,26,36,10
725,19562,08-May-22,RT2,23,23,0
735,19559,08-May-22,RT2,29,41,12
748,19561,08-May-22,RT2,33,45,12
751,19562,08-May-22,RT3,24,29,5
752,19561,08-May-22,RT3,22,29,7
756,19559,08-May-22,RT3,20,27,7
775,19559,08-May-22,RT4,2,3,1
783,19561,08-May-22,RT4,5,7,2
792,19562,08-May-22,RT4,13,14,1
802,19562,09-May-22,RT1,20,30,10
822,19559,09-May-22,RT1,11,24,13
823,19561,09-May-22,RT1,17,36,19
825,19562,09-May-22,RT2,13,23,10
835,19559,09-May-22,RT2,19,41,22
848,19561,09-May-22,RT2,24,45,21
851,19562,09-May-22,RT3,17,29,12
852,19561,09-May-22,RT3,15,29,14
856,19559,09-May-22,RT3,14,27,13
876,19559,09-May-22,RT4,2,3,1
879,19561,09-May-22,RT4,4,7,3
888,19562,09-May-22,RT4,8,14,6
902,19562,10-May-22,RT1,18,30,12
922,19559,10-May-22,RT1,14,24,10
923,19561,10-May-22,RT1,18,36,18
925,19562,10-May-22,RT2,15,23,8
935,19559,10-May-22,RT2,19,41,22
948,19561,10-May-22,RT2,25,45,20
951,19562,10-May-22,RT3,19,29,10
952,19561,10-May-22,RT3,16,29,13
956,19559,10-May-22,RT3,14,27,13
975,19559,10-May-22,RT4,2,3,1
987,19562,10-May-22,RT4,9,14,5
998,19561,10-May-22,RT4,3,7,4
1001,19562,11-May-22,RT1,21,30,9
1021,19559,11-May-22,RT1,13,24,11
1022,19561,11-May-22,RT1,18,36,18
1024,19562,11-May-22,RT2,14,23,9
1034,19559,11-May-22,RT2,19,41,22
1047,19561,11-May-22,RT2,22,45,23
1051,19562,11-May-22,RT3,18,29,11
1052,19561,11-May-22,RT3,15,29,14
1056,19559,11-May-22,RT3,13,27,14
1076,19561,11-May-22,RT4,4,7,3
1080,19559,11-May-22,RT4,1,3,2
1086,19562,11-May-22,RT4,9,14,5
1102,19562,12-May-22,RT1,18,30,12
1122,19559,12-May-22,RT1,12,24,12
1123,19561,12-May-22,RT1,20,36,16
1125,19562,12-May-22,RT2,16,23,7
1135,19559,12-May-22,RT2,19,41,22
1148,19561,12-May-22,RT2,22,45,23
1151,19562,12-May-22,RT3,18,29,11
1152,19561,12-May-22,RT3,15,29,14
1156,19559,12-May-22,RT3,13,27,14
1176,19561,12-May-22,RT4,4,7,3
1180,19559,12-May-22,RT4,1,3,2
1186,19562,12-May-22,RT4,9,14,5
1203,19562,13-May-22,RT1,17,30,13
1223,19559,13-May-22,RT1,12,24,12
1224,19561,13-May-22,RT1,17,36,19
1226,19562,13-May-22,RT2,14,23,9
1236,19559,13-May-22,RT2,21,41,20
1249,19561,13-May-22,RT2,23,45,22
1251,19562,13-May-22,RT3,19,29,10
1252,19561,13-May-22,RT3,17,29,12
1256,19559,13-May-22,RT3,14,27,13
1275,19559,13-May-22,RT4,2,3,1
1286,19562,13-May-22,RT4,8,14,6
1298,19561,13-May-22,RT4,3,7,4
1302,19562,14-May-22,RT1,28,30,2
1322,19559,14-May-22,RT1,18,24,6
1323,19561,14-May-22,RT1,26,36,10
1325,19562,14-May-22,RT2,19,23,4
1335,19559,14-May-22,RT2,30,41,11
1348,19561,14-May-22,RT2,33,45,12
1351,19562,14-May-22,RT3,25,29,4
1352,19561,14-May-22,RT3,20,29,9
1356,19559,14-May-22,RT3,19,27,8
1375,19559,14-May-22,RT4,2,3,1
1382,19561,14-May-22,RT4,5,7,2
1391,19562,14-May-22,RT4,14,14,0
1402,19562,15-May-22,RT1,23,30,7
1422,19559,15-May-22,RT1,15,24,9
1423,19561,15-May-22,RT1,23,36,13
1425,19562,15-May-22,RT2,17,23,6
1435,19559,15-May-22,RT2,25,41,16
1448,19561,15-May-22,RT2,29,45,16
1451,19562,15-May-22,RT3,24,29,5
1452,19561,15-May-22,RT3,19,29,10
1456,19559,15-May-22,RT3,14,27,13
1475,19559,15-May-22,RT4,2,3,1
1479,19561,15-May-22,RT4,4,7,3
1488,19562,15-May-22,RT4,12,14,2
1502,19562,16-May-22,RT1,15,30,15
1522,19559,16-May-22,RT1,10,24,14
1523,19561,16-May-22,RT1,14,36,22
1525,19562,16-May-22,RT2,11,23,12
1535,19559,16-May-22,RT2,17,41,24
1548,19561,16-May-22,RT2,19,45,26
1551,19562,16-May-22,RT3,17,29,12
1552,19561,16-May-22,RT3,12,29,17
1556,19559,16-May-22,RT3,12,27,15
1578,19559,16-May-22,RT4,2,3,1
1587,19562,16-May-22,RT4,7,14,7
1598,19561,16-May-22,RT4,3,7,4
1602,19562,17-May-22,RT1,14,30,16
1622,19559,17-May-22,RT1,11,24,13
1623,19561,17-May-22,RT1,14,36,22
1625,19562,17-May-22,RT2,10,23,13
1635,19559,17-May-22,RT2,16,41,25
1648,19561,17-May-22,RT2,20,45,25
1651,19562,17-May-22,RT3,15,29,14
1652,19561,17-May-22,RT3,12,29,17
1656,19559,17-May-22,RT3,14,27,13
1679,19561,17-May-22,RT4,4,7,3
1684,19559,17-May-22,RT4,1,3,2
1689,19562,17-May-22,RT4,8,14,6
1702,19562,18-May-22,RT1,12,30,18
1722,19559,18-May-22,RT1,11,24,13
1723,19561,18-May-22,RT1,15,36,21
1725,19562,18-May-22,RT2,13,23,10
1735,19559,18-May-22,RT2,17,41,24
1748,19561,18-May-22,RT2,19,45,26
1751,19562,18-May-22,RT3,17,29,12
1752,19561,18-May-22,RT3,13,29,16
1756,19559,18-May-22,RT3,12,27,15
1778,19561,18-May-22,RT4,2,7,5
1786,19559,18-May-22,RT4,1,3,2
1790,19562,18-May-22,RT4,7,14,7
1802,19562,19-May-22,RT1,15,30,15
1822,19559,19-May-22,RT1,11,24,13
1823,19561,19-May-22,RT1,15,36,21
1825,19562,19-May-22,RT2,12,23,11
1835,19559,19-May-22,RT2,17,41,24
1848,19561,19-May-22,RT2,22,45,23
1851,19562,19-May-22,RT3,16,29,13
1852,19561,19-May-22,RT3,12,29,17
1856,19559,19-May-22,RT3,11,27,16
1880,19559,19-May-22,RT4,1,3,2
1885,19562,19-May-22,RT4,7,14,7
1898,19561,19-May-22,RT4,3,7,4
1902,19562,20-May-22,RT1,14,30,16
1922,19559,20-May-22,RT1,9,24,15
1923,19561,20-May-22,RT1,15,36,21
1925,19562,20-May-22,RT2,12,23,11
1935,19559,20-May-22,RT2,18,41,23
1948,19561,20-May-22,RT2,22,45,23
1951,19562,20-May-22,RT3,17,29,12
1952,19561,20-May-22,RT3,11,29,18
1956,19559,20-May-22,RT3,11,27,16
1979,19559,20-May-22,RT4,2,3,1
1989,19562,20-May-22,RT4,8,14,6
1998,19561,20-May-22,RT4,3,7,4
2001,19562,21-May-22,RT1,25,30,5
2021,19559,21-May-22,RT1,13,24,11
2022,19561,21-May-22,RT1,25,36,11
2024,19562,21-May-22,RT2,17,23,6
2034,19559,21-May-22,RT2,23,41,18
2047,19561,21-May-22,RT2,28,45,17
2051,19562,21-May-22,RT3,23,29,6
2052,19561,21-May-22,RT3,17,29,12
2056,19559,21-May-22,RT3,17,27,10
2075,19559,21-May-22,RT4,2,3,1
2080,19561,21-May-22,RT4,4,7,3
2089,19562,21-May-22,RT4,10,14,4
2102,19562,22-May-22,RT1,25,30,5
2122,19559,22-May-22,RT1,18,24,6
2123,19561,22-May-22,RT1,27,36,9
2125,19562,22-May-22,RT2,23,23,0
2135,19559,22-May-22,RT2,30,41,11
2148,19561,22-May-22,RT2,32,45,13
2151,19562,22-May-22,RT3,24,29,5
2152,19561,22-May-22,RT3,22,29,7
2156,19559,22-May-22,RT3,18,27,9
2175,19559,22-May-22,RT4,2,3,1
2182,19561,22-May-22,RT4,5,7,2
2192,19562,22-May-22,RT4,11,14,3
2203,19562,23-May-22,RT1,21,30,9
2223,19559,23-May-22,RT1,13,24,11
2224,19561,23-May-22,RT1,16,36,20
2226,19562,23-May-22,RT2,15,23,8
2236,19559,23-May-22,RT2,22,41,19
2249,19561,23-May-22,RT2,24,45,21
2251,19562,23-May-22,RT3,17,29,12
2252,19561,23-May-22,RT3,14,29,15
2256,19559,23-May-22,RT3,16,27,11
2277,19561,23-May-22,RT4,4,7,3
2281,19559,23-May-22,RT4,1,3,2
2287,19562,23-May-22,RT4,9,14,5
2302,19562,24-May-22,RT1,17,30,13
2322,19559,24-May-22,RT1,11,24,13
2323,19561,24-May-22,RT1,18,36,18
2325,19562,24-May-22,RT2,13,23,10
2335,19559,24-May-22,RT2,20,41,21
2348,19561,24-May-22,RT2,20,45,25
2351,19562,24-May-22,RT3,17,29,12
2352,19561,24-May-22,RT3,17,29,12
2356,19559,24-May-22,RT3,14,27,13
2382,19559,24-May-22,RT4,1,3,2
2388,19562,24-May-22,RT4,9,14,5
2398,19561,24-May-22,RT4,3,7,4
2402,19562,25-May-22,RT1,19,30,11
2422,19559,25-May-22,RT1,13,24,11
2423,19561,25-May-22,RT1,18,36,18
2425,19562,25-May-22,RT2,14,23,9
2435,19559,25-May-22,RT2,20,41,21
2448,19561,25-May-22,RT2,24,45,21
2451,19562,25-May-22,RT3,18,29,11
2452,19561,25-May-22,RT3,14,29,15
2456,19559,25-May-22,RT3,14,27,13
2475,19559,25-May-22,RT4,2,3,1
2480,19561,25-May-22,RT4,4,7,3
2489,19562,25-May-22,RT4,9,14,5
2502,19562,26-May-22,RT1,16,30,14
2522,19559,26-May-22,RT1,11,24,13
2523,19561,26-May-22,RT1,16,36,20
2525,19562,26-May-22,RT2,15,23,8
2535,19559,26-May-22,RT2,21,41,20
2548,19561,26-May-22,RT2,23,45,22
2551,19562,26-May-22,RT3,20,29,9
2552,19561,26-May-22,RT3,15,29,14
2556,19559,26-May-22,RT3,15,27,12
2576,19559,26-May-22,RT4,2,3,1
2579,19561,26-May-22,RT4,4,7,3
2588,19562,26-May-22,RT4,8,14,6
2602,19562,27-May-22,RT1,17,30,13
2622,19559,27-May-22,RT1,13,24,11
2623,19561,27-May-22,RT1,18,36,18
2625,19562,27-May-22,RT2,14,23,9
2635,19559,27-May-22,RT2,18,41,23
2648,19561,27-May-22,RT2,24,45,21
2651,19562,27-May-22,RT3,16,29,13
2652,19561,27-May-22,RT3,16,29,13
2656,19559,27-May-22,RT3,15,27,12
2675,19559,27-May-22,RT4,2,3,1
2686,19562,27-May-22,RT4,9,14,5
2698,19561,27-May-22,RT4,3,7,4
2702,19562,28-May-22,RT1,26,30,4
2722,19559,28-May-22,RT1,18,24,6
2723,19561,28-May-22,RT1,26,36,10
2725,19562,28-May-22,RT2,23,23,0
2735,19559,28-May-22,RT2,30,41,11
2748,19561,28-May-22,RT2,31,45,14
2751,19562,28-May-22,RT3,26,29,3
2752,19561,28-May-22,RT3,20,29,9
2756,19559,28-May-22,RT3,19,27,8
2775,19559,28-May-22,RT4,2,3,1
2781,19561,28-May-22,RT4,5,7,2
2791,19562,28-May-22,RT4,14,14,0
2802,19562,29-May-22,RT1,22,30,8
2822,19559,29-May-22,RT1,15,24,9
2823,19561,29-May-22,RT1,23,36,13
2825,19562,29-May-22,RT2,19,23,4
2835,19559,29-May-22,RT2,28,41,13
2848,19561,29-May-22,RT2,29,45,16
2851,19562,29-May-22,RT3,20,29,9
2852,19561,29-May-22,RT3,16,29,13
2856,19559,29-May-22,RT3,18,27,9
2876,19559,29-May-22,RT4,2,3,1
2880,19561,29-May-22,RT4,4,7,3
2889,19562,29-May-22,RT4,9,14,5
2902,19562,30-May-22,RT1,17,30,13
2922,19559,30-May-22,RT1,10,24,14
2923,19561,30-May-22,RT1,14,36,22
2925,19562,30-May-22,RT2,12,23,11
2935,19559,30-May-22,RT2,22,41,19
2948,19561,30-May-22,RT2,16,45,29
2951,19562,30-May-22,RT3,13,29,16
2952,19561,30-May-22,RT3,12,29,17
2956,19559,30-May-22,RT3,10,27,17
2983,19559,30-May-22,RT4,1,3,2
2988,19562,30-May-22,RT4,7,14,7
2998,19561,30-May-22,RT4,3,7,4
3001,19562,31-May-22,RT1,15,30,15
3021,19559,31-May-22,RT1,9,24,15
3022,19561,31-May-22,RT1,12,36,24
3024,19562,31-May-22,RT2,11,23,12
3034,19559,31-May-22,RT2,20,41,21
3047,19561,31-May-22,RT2,20,45,25
3051,19562,31-May-22,RT3,14,29,15
3052,19561,31-May-22,RT3,11,29,18
3056,19559,31-May-22,RT3,10,27,17
3077,19559,31-May-22,RT4,2,3,1
3087,19562,31-May-22,RT4,7,14,7
3098,19561,31-May-22,RT4,3,7,4
3102,19562,01-Jun-22,RT1,18,30,12
3122,19559,01-Jun-22,RT1,11,24,13
3123,19561,01-Jun-22,RT1,15,36,21
3125,19562,01-Jun-22,RT2,10,23,13
3135,19559,01-Jun-22,RT2,18,41,23
3148,19561,01-Jun-22,RT2,20,45,25
3151,19562,01-Jun-22,RT3,15,29,14
3152,19561,01-Jun-22,RT3,13,29,16
3156,19559,01-Jun-22,RT3,11,27,16
3183,19559,01-Jun-22,RT4,1,3,2
3188,19562,01-Jun-22,RT4,7,14,7
3198,19561,01-Jun-22,RT4,3,7,4
3203,19562,02-Jun-22,RT1,17,30,13
3223,19559,02-Jun-22,RT1,10,24,14
3224,19561,02-Jun-22,RT1,14,36,22
3226,19562,02-Jun-22,RT2,10,23,13
3236,19559,02-Jun-22,RT2,18,41,23
3249,19561,02-Jun-22,RT2,18,45,27
3251,19562,02-Jun-22,RT3,15,29,14
3252,19561,02-Jun-22,RT3,11,29,18
3256,19559,02-Jun-22,RT3,11,27,16
3278,19561,02-Jun-22,RT4,2,7,5
3284,19559,02-Jun-22,RT4,1,3,2
3289,19562,02-Jun-22,RT4,8,14,6
3302,19562,03-Jun-22,RT1,15,30,15
3322,19559,03-Jun-22,RT1,10,24,14
3323,19561,03-Jun-22,RT1,17,36,19
3325,19562,03-Jun-22,RT2,13,23,10
3335,19559,03-Jun-22,RT2,17,41,24
3348,19561,03-Jun-22,RT2,18,45,27
3351,19562,03-Jun-22,RT3,12,29,17
3352,19561,03-Jun-22,RT3,13,29,16
3356,19559,03-Jun-22,RT3,12,27,15
3379,19559,03-Jun-22,RT4,2,3,1
3389,19562,03-Jun-22,RT4,7,14,7
3398,19561,03-Jun-22,RT4,3,7,4
3402,19562,04-Jun-22,RT1,22,30,8
3422,19559,04-Jun-22,RT1,14,24,10
3423,19561,04-Jun-22,RT1,21,36,15
3425,19562,04-Jun-22,RT2,15,23,8
3435,19559,04-Jun-22,RT2,26,41,15
3448,19561,04-Jun-22,RT2,27,45,18
3451,19562,04-Jun-22,RT3,23,29,6
3452,19561,04-Jun-22,RT3,16,29,13
3456,19559,04-Jun-22,RT3,18,27,9
3475,19559,04-Jun-22,RT4,2,3,1
3480,19561,04-Jun-22,RT4,4,7,3
3489,19562,04-Jun-22,RT4,10,14,4
3502,19562,05-Jun-22,RT1,27,30,3
3522,19559,05-Jun-22,RT1,17,24,7
3523,19561,05-Jun-22,RT1,24,36,12
3525,19562,05-Jun-22,RT2,20,23,3
3535,19559,05-Jun-22,RT2,29,41,12
3548,19561,05-Jun-22,RT2,31,45,14
3551,19562,05-Jun-22,RT3,27,29,2
3552,19561,05-Jun-22,RT3,22,29,7
3556,19559,05-Jun-22,RT3,19,27,8
3575,19559,05-Jun-22,RT4,2,3,1
3582,19561,05-Jun-22,RT4,5,7,2
3592,19562,05-Jun-22,RT4,13,14,1
3602,19562,06-Jun-22,RT1,19,30,11
3622,19559,06-Jun-22,RT1,11,24,13
3623,19561,06-Jun-22,RT1,19,36,17
3625,19562,06-Jun-22,RT2,15,23,8
3635,19559,06-Jun-22,RT2,20,41,21
3648,19561,06-Jun-22,RT2,23,45,22
3651,19562,06-Jun-22,RT3,18,29,11
3652,19561,06-Jun-22,RT3,15,29,14
3656,19559,06-Jun-22,RT3,14,27,13
3675,19559,06-Jun-22,RT4,2,3,1
3680,19561,06-Jun-22,RT4,4,7,3
3689,19562,06-Jun-22,RT4,8,14,6
3702,19562,07-Jun-22,RT1,18,30,12
3722,19559,07-Jun-22,RT1,12,24,12
3723,19561,07-Jun-22,RT1,21,36,15
3725,19562,07-Jun-22,RT2,16,23,7
3735,19559,07-Jun-22,RT2,22,41,19
3748,19561,07-Jun-22,RT2,21,45,24
3751,19562,07-Jun-22,RT3,19,29,10
3752,19561,07-Jun-22,RT3,14,29,15
3756,19559,07-Jun-22,RT3,13,27,14
3775,19559,07-Jun-22,RT4,2,3,1
3787,19562,07-Jun-22,RT4,10,14,4
3798,19561,07-Jun-22,RT4,3,7,4
3802,19562,08-Jun-22,RT1,18,30,12
3822,19559,08-Jun-22,RT1,13,24,11
3823,19561,08-Jun-22,RT1,20,36,16
3825,19562,08-Jun-22,RT2,14,23,9
3835,19559,08-Jun-22,RT2,23,41,18
3848,19561,08-Jun-22,RT2,21,45,24
3851,19562,08-Jun-22,RT3,16,29,13
3852,19561,08-Jun-22,RT3,13,29,16
3856,19559,08-Jun-22,RT3,15,27,12
3875,19559,08-Jun-22,RT4,2,3,1
3887,19562,08-Jun-22,RT4,10,14,4
3898,19561,08-Jun-22,RT4,3,7,4
