Unnamed: 0,property_id,check_in_date,room_category,successful_bookings,capacity,vacantrooms
0,16559,01-May-22,RT1,25,30,5
3,17558,01-May-22,RT1,13,19,6
8,17561,01-May-22,RT1,22,26,4
13,17559,01-May-22,RT1,26,32,6
14,17562,01-May-22,RT1,12,20,8
26,17561,01-May-22,RT2,32,36,4
27,17558,01-May-22,RT2,38,50,12
33,16559,01-May-22,RT2,35,41,6
36,17559,01-May-22,RT2,34,39,5
41,17562,01-May-22,RT2,19,30,11
54,17558,01-May-22,RT3,21,27,6
55,17562,01-May-22,RT3,15,27,12
57,16559,01-May-22,RT3,27,32,5
62,17561,01-May-22,RT3,16,19,3
72,17559,01-May-22,RT3,14,16,2
77,17558,01-May-22,RT4,4,6,2
78,17562,01-May-22,RT4,4,6,2
92,17559,01-May-22,RT4,13,14,1
97,16559,01-May-22,RT4,17,18,1
98,17561,01-May-22,RT4,3,4,1
100,16559,02-May-22,RT1,20,30,10
104,17558,02-May-22,RT1,10,19,9
109,17561,02-May-22,RT1,15,26,11
114,17559,02-May-22,RT1,20,32,12
115,17562,02-May-22,RT1,9,20,11
127,17561,02-May-22,RT2,23,36,13
128,17558,02-May-22,RT2,27,50,23
134,16559,02-May-22,RT2,23,41,18
137,17559,02-May-22,RT2,26,39,13
142,17562,02-May-22,RT2,14,30,16
154,17558,02-May-22,RT3,12,27,15
155,17562,02-May-22,RT3,12,27,15
157,16559,02-May-22,RT3,20,32,12
165,17559,02-May-22,RT3,9,16,7
171,17561,02-May-22,RT3,10,19,9
177,17558,02-May-22,RT4,4,6,2
190,17559,02-May-22,RT4,8,14,6
195,16559,02-May-22,RT4,12,18,6
197,17562,02-May-22,RT4,3,6,3
199,17561,02-May-22,RT4,3,4,1
201,16559,03-May-22,RT1,17,30,13
205,17558,03-May-22,RT1,9,19,10
210,17561,03-May-22,RT1,16,26,10
215,17559,03-May-22,RT1,20,32,12
216,17562,03-May-22,RT1,10,20,10
228,17561,03-May-22,RT2,23,36,13
229,17558,03-May-22,RT2,26,50,24
235,16559,03-May-22,RT2,26,41,15
238,17559,03-May-22,RT2,24,39,15
243,17562,03-May-22,RT2,15,30,15
254,17558,03-May-22,RT3,15,27,12
255,17562,03-May-22,RT3,12,27,15
257,16559,03-May-22,RT3,21,32,11
268,17559,03-May-22,RT3,10,16,6
270,17561,03-May-22,RT3,12,19,7
275,17562,03-May-22,RT4,2,6,4
289,17559,03-May-22,RT4,10,14,4
294,16559,03-May-22,RT4,11,18,7
296,17558,03-May-22,RT4,3,6,3
299,17561,03-May-22,RT4,3,4,1
304,17558,04-May-22,RT1,9,19,10
309,17561,04-May-22,RT1,15,26,11
314,17559,04-May-22,RT1,19,32,13
315,17562,04-May-22,RT1,9,20,11
327,17561,04-May-22,RT2,21,36,15
328,17558,04-May-22,RT2,27,50,23
334,16559,04-May-22,RT2,28,41,13
337,17559,04-May-22,RT2,23,39,16
342,17562,04-May-22,RT2,11,30,19
350,16559,04-May-22,RT1,21,30,9
354,17558,04-May-22,RT3,12,27,15
355,17562,04-May-22,RT3,9,27,18
357,16559,04-May-22,RT3,19,32,13
368,17561,04-May-22,RT3,10,19,9
371,17559,04-May-22,RT3,12,16,4
375,17562,04-May-22,RT4,2,6,4
387,17559,04-May-22,RT4,9,14,5
392,16559,04-May-22,RT4,11,18,7
394,17558,04-May-22,RT4,3,6,3
399,17561,04-May-22,RT4,3,4,1
400,16559,05-May-22,RT1,16,30,14
404,17558,05-May-22,RT1,10,19,9
409,17561,05-May-22,RT1,15,26,11
414,17559,05-May-22,RT1,21,32,11
415,17562,05-May-22,RT1,8,20,12
427,17561,05-May-22,RT2,25,36,11
428,17558,05-May-22,RT2,29,50,21
434,16559,05-May-22,RT2,24,41,17
437,17559,05-May-22,RT2,26,39,13
442,17562,05-May-22,RT2,13,30,17
454,17558,05-May-22,RT3,14,27,13
455,17562,05-May-22,RT3,11,27,16
457,16559,05-May-22,RT3,20,32,12
466,17559,05-May-22,RT3,10,16,6
473,17561,05-May-22,RT3,11,19,8
488,17559,05-May-22,RT4,8,14,6
493,16559,05-May-22,RT4,13,18,5
495,17558,05-May-22,RT4,3,6,3
496,17562,05-May-22,RT4,3,6,3
499,17561,05-May-22,RT4,3,4,1
500,16559,06-May-22,RT1,21,30,9
504,17558,06-May-22,RT1,9,19,10
509,17561,06-May-22,RT1,16,26,10
514,17559,06-May-22,RT1,19,32,13
515,17562,06-May-22,RT1,8,20,12
527,17561,06-May-22,RT2,20,36,16
528,17558,06-May-22,RT2,29,50,21
534,16559,06-May-22,RT2,23,41,18
537,17559,06-May-22,RT2,25,39,14
542,17562,06-May-22,RT2,12,30,18
554,17558,06-May-22,RT3,12,27,15
555,17562,06-May-22,RT3,10,27,17
557,16559,06-May-22,RT3,20,32,12
561,17561,06-May-22,RT3,13,19,6
574,17559,06-May-22,RT3,11,16,5
575,17562,06-May-22,RT4,2,6,4
588,17559,06-May-22,RT4,8,14,6
593,16559,06-May-22,RT4,11,18,7
595,17558,06-May-22,RT4,3,6,3
599,17561,06-May-22,RT4,3,4,1
604,17558,07-May-22,RT1,15,19,4
609,17561,07-May-22,RT1,22,26,4
614,17559,07-May-22,RT1,29,32,3
615,17562,07-May-22,RT1,13,20,7
627,17561,07-May-22,RT2,30,36,6
628,17558,07-May-22,RT2,39,50,11
634,16559,07-May-22,RT2,36,41,5
637,17559,07-May-22,RT2,33,39,6
642,17562,07-May-22,RT2,16,30,14
650,16559,07-May-22,RT1,28,30,2
654,17558,07-May-22,RT3,19,27,8
655,17562,07-May-22,RT3,16,27,11
657,16559,07-May-22,RT3,28,32,4
663,17561,07-May-22,RT3,19,19,0
673,17559,07-May-22,RT3,14,16,2
678,17561,07-May-22,RT4,4,4,0
680,17558,07-May-22,RT4,5,6,1
692,17559,07-May-22,RT4,14,14,0
697,16559,07-May-22,RT4,16,18,2
698,17562,07-May-22,RT4,3,6,3
700,16559,08-May-22,RT1,28,30,2
704,17558,08-May-22,RT1,15,19,4
709,17561,08-May-22,RT1,26,26,0
714,17559,08-May-22,RT1,31,32,1
715,17562,08-May-22,RT1,12,20,8
727,17561,08-May-22,RT2,32,36,4
728,17558,08-May-22,RT2,38,50,12
734,16559,08-May-22,RT2,39,41,2
737,17559,08-May-22,RT2,35,39,4
742,17562,08-May-22,RT2,19,30,11
754,17558,08-May-22,RT3,21,27,6
755,17562,08-May-22,RT3,15,27,12
757,16559,08-May-22,RT3,30,32,2
762,17561,08-May-22,RT3,17,19,2
769,17559,08-May-22,RT3,15,16,1
776,17558,08-May-22,RT4,4,6,2
777,17562,08-May-22,RT4,4,6,2
779,17561,08-May-22,RT4,4,4,0
793,17559,08-May-22,RT4,14,14,0
798,16559,08-May-22,RT4,17,18,1
800,16559,09-May-22,RT1,20,30,10
804,17558,09-May-22,RT1,10,19,9
809,17561,09-May-22,RT1,16,26,10
814,17559,09-May-22,RT1,21,32,11
815,17562,09-May-22,RT1,9,20,11
827,17561,09-May-22,RT2,23,36,13
828,17558,09-May-22,RT2,24,50,26
834,16559,09-May-22,RT2,28,41,13
837,17559,09-May-22,RT2,22,39,17
842,17562,09-May-22,RT2,13,30,17
854,17558,09-May-22,RT3,12,27,15
855,17562,09-May-22,RT3,12,27,15
857,16559,09-May-22,RT3,20,32,12
868,17559,09-May-22,RT3,10,16,6
872,17561,09-May-22,RT3,12,19,7
875,17562,09-May-22,RT4,2,6,4
889,17559,09-May-22,RT4,9,14,5
894,16559,09-May-22,RT4,11,18,7
896,17558,09-May-22,RT4,3,6,3
899,17561,09-May-22,RT4,3,4,1
904,17558,10-May-22,RT1,11,19,8
909,17561,10-May-22,RT1,14,26,12
914,17559,10-May-22,RT1,20,32,12
915,17562,10-May-22,RT1,9,20,11
927,17561,10-May-22,RT2,22,36,14
928,17558,10-May-22,RT2,24,50,26
934,16559,10-May-22,RT2,25,41,16
937,17559,10-May-22,RT2,27,39,12
942,17562,10-May-22,RT2,11,30,19
950,16559,10-May-22,RT1,18,30,12
954,17558,10-May-22,RT3,12,27,15
955,17562,10-May-22,RT3,12,27,15
957,16559,10-May-22,RT3,20,32,12
970,17559,10-May-22,RT3,10,16,6
973,17561,10-May-22,RT3,12,19,7
988,17559,10-May-22,RT4,10,14,4
993,16559,10-May-22,RT4,13,18,5
994,17558,10-May-22,RT4,3,6,3
995,17562,10-May-22,RT4,3,6,3
999,17561,10-May-22,RT4,3,4,1
1000,16559,11-May-22,RT1,17,30,13
1003,17558,11-May-22,RT1,11,19,8
1008,17561,11-May-22,RT1,17,26,9
1013,17559,11-May-22,RT1,23,32,9
1014,17562,11-May-22,RT1,9,20,11
1026,17561,11-May-22,RT2,23,36,13
1027,17558,11-May-22,RT2,26,50,24
1033,16559,11-May-22,RT2,23,41,18
1036,17559,11-May-22,RT2,22,39,17
1041,17562,11-May-22,RT2,12,30,18
1054,17558,11-May-22,RT3,14,27,13
1055,17562,11-May-22,RT3,12,27,15
1057,16559,11-May-22,RT3,21,32,11
1063,17559,11-May-22,RT3,9,16,7
1072,17561,11-May-22,RT3,12,19,7
1087,17559,11-May-22,RT4,9,14,5
1092,16559,11-May-22,RT4,12,18,6
1094,17558,11-May-22,RT4,3,6,3
1095,17562,11-May-22,RT4,3,6,3
1099,17561,11-May-22,RT4,3,4,1
