Unnamed: 0,property_id,check_in_date,room_category,successful_bookings,capacity,vacantrooms
4,16558,01-May-22,RT1,18,19,1
10,16561,01-May-22,RT1,16,18,2
11,16562,01-May-22,RT1,20,31,11
28,16562,01-May-22,RT2,30,43,13
29,16561,01-May-22,RT2,24,24,0
30,16558,01-May-22,RT2,21,22,1
60,16561,01-May-22,RT3,21,21,0
69,16558,01-May-22,RT3,8,8,0
71,16562,01-May-22,RT3,14,18,4
76,16562,01-May-22,RT4,4,6,2
83,16561,01-May-22,RT4,9,10,1
99,16558,01-May-22,RT4,3,3,0
105,16558,02-May-22,RT1,12,19,7
111,16561,02-May-22,RT1,11,18,7
112,16562,02-May-22,RT1,17,31,14
129,16562,02-May-22,RT2,21,43,22
130,16561,02-May-22,RT2,16,24,8
131,16558,02-May-22,RT2,14,22,8
158,16558,02-May-22,RT3,5,8,3
161,16561,02-May-22,RT3,13,21,8
172,16562,02-May-22,RT3,11,18,7
176,16558,02-May-22,RT4,2,3,1
182,16561,02-May-22,RT4,6,10,4
196,16562,02-May-22,RT4,3,6,3
206,16558,03-May-22,RT1,14,19,5
212,16561,03-May-22,RT1,10,18,8
213,16562,03-May-22,RT1,14,31,17
230,16562,03-May-22,RT2,19,43,24
231,16561,03-May-22,RT2,16,24,8
232,16558,03-May-22,RT2,14,22,8
258,16558,03-May-22,RT3,5,8,3
261,16562,03-May-22,RT3,8,18,10
262,16561,03-May-22,RT3,13,21,8
276,16558,03-May-22,RT4,2,3,1
280,16561,03-May-22,RT4,7,10,3
295,16562,03-May-22,RT4,3,6,3
305,16558,04-May-22,RT1,13,19,6
311,16561,04-May-22,RT1,11,18,7
312,16562,04-May-22,RT1,16,31,15
329,16562,04-May-22,RT2,21,43,22
330,16561,04-May-22,RT2,15,24,9
331,16558,04-May-22,RT2,14,22,8
358,16558,04-May-22,RT3,6,8,2
363,16561,04-May-22,RT3,14,21,7
372,16562,04-May-22,RT3,11,18,7
377,16558,04-May-22,RT4,2,3,1
379,16561,04-May-22,RT4,5,10,5
393,16562,04-May-22,RT4,3,6,3
405,16558,05-May-22,RT1,12,19,7
411,16561,05-May-22,RT1,13,18,5
